Mod Name Text,CDN Release URL,Client-Server Tag,Source
Advanced Loot Info (ALI),https://cdn.modrinth.com/data/PEPVViac/versions/y8p1Vq83/AdvancedLootInfo-neoforge-1.21.1-1.12.0.jar,Both,modrinth
Architectury API,https://cdn.modrinth.com/data/lhGA9TYQ/versions/ZxYGwlk0/architectury-13.0.8-neoforge.jar,Both,modrinth
Azimuth API,https://cdn.modrinth.com/data/RpH8tmT1/versions/AN8clG2E/azimuth-1.4.0.jar,Both,modrinth
Better Library,https://cdn.modrinth.com/data/2x0ULgTj/versions/KANB3D2i/better_lib-neoforge-1.21.1-1.0.109.jar,Both,modrinth
Create,https://cdn.modrinth.com/data/LNytGWDc/versions/UjX6dr61/create-1.21.1-6.0.10.jar,Both,modrinth
Create Aeronautics,https://cdn.modrinth.com/data/oWaK0Q19/versions/w7zlLnea/create-aeronautics-bundled-1.21.1-1.3.0.jar,Both,modrinth
Create Crafts & Additions,https://cdn.modrinth.com/data/kU1G12Nn/versions/qPr8V4G2/createaddition-1.6.0.jar,Both,modrinth
Create Deco,https://cdn.modrinth.com/data/sMvUb4Rb/versions/qrcMVoBD/createdeco-2.1.3.jar,Both,modrinth
Create Ore Excavation,https://cdn.modrinth.com/data/ResbpANg/versions/tivxiPTo/createoreexcavation-1.21-1.6.8.jar,Both,modrinth
Create Slice & Dice,https://cdn.modrinth.com/data/GmjmRQ0A/versions/cV2GZBSJ/sliceanddice-neoforge-4.3.2.jar,Both,modrinth
Create Stuff & Netherite Additions,https://cdn.modrinth.com/data/777GhN41/versions/yosj4p3v/create_sna-1.2-neoforge-1.21.1.jar,Both,modrinth
Create Stuff 'N Additions,https://cdn.modrinth.com/data/aq9qUUQG/versions/5xWzE6Yk/create-stuff-additions1.21.1_v2.1.4a.jar,Both,modrinth
Create: Bits 'n' Bobs,https://cdn.modrinth.com/data/T8bvmqVZ/versions/cSCeD78i/bits_n_bobs-2.1.9-beta.jar,Both,modrinth
Create: Connected,https://cdn.modrinth.com/data/Vg5TIO6d/versions/klOWKza5/create_connected-1.3.2-mc1.21.1.jar,Both,modrinth
Create: Copycats+,https://cdn.modrinth.com/data/UT2M39wf/versions/kecZ0sl7/copycats-3.0.4%2Bmc.1.21.1-neoforge.jar,Both,modrinth
Create: Design n' Decor,https://cdn.modrinth.com/data/x49wilh8/versions/uQsIRky8/Design-n-Decor-1.21.1-2.2b.jar,Both,modrinth
Create: Fuel & Water Information,https://cdn.modrinth.com/data/csA0cpEX/versions/uSPahtVl/cfwinfo-1.9.1.jar,Both,modrinth
Create: Power Grid,https://cdn.modrinth.com/data/eWiBLJ9R/versions/8EtGIOFr/powergrid-mc1.21.1-0.5.5.1.jar,Both,modrinth
Create: Power Loader,https://cdn.modrinth.com/data/wPQ6GgFE/versions/3Y4r0ItR/create_power_loader-2.0.5-mc1.21.1.jar,Both,modrinth
Create: Sophisticated Backpacks Compat,https://cdn.modrinth.com/data/BAEkFrvn/versions/MGpIgh9e/create_sophback_compat-1.0.jar,Both,modrinth
Create: Sound of Steam,https://cdn.modrinth.com/data/yGttHo06/versions/iFePoN10/pipeorgans-0.8.2%2B1.21.1.jar,Both,modrinth
"Create: Stuff 'N Additions - Tank Fix (Spout, Curios & Upgrade)",https://cdn.modrinth.com/data/LANuxfjR/versions/4VObKKFd/createsa_tank_fix-1.3.jar,Both,modrinth
Fusion (Connected Textures),https://cdn.modrinth.com/data/p19vrgc2/versions/nipdgutM/fusion-1.3.5-neoforge-mc1.21.1.jar,Client,modrinth
Fzzy Config,https://cdn.modrinth.com/data/hYykXjDp/versions/MAPG6cXE/fzzy_config-0.7.6%2B1.21%2Bneoforge.jar,Both,modrinth
Jade Addons (Neo/Forge),https://cdn.modrinth.com/data/xuDOzCLy/versions/Z9s9lM56/JadeAddons-1.21.1-NeoForge-6.1.0.jar,Both,modrinth
Jade 🔍,https://cdn.modrinth.com/data/nvQzSEkH/versions/yd8FKCmx/Jade-1.21.1-NeoForge-15.10.5.jar,Both,modrinth
Just Enough Items (JEI),https://cdn.modrinth.com/data/u6dRKJwZ/versions/eBag7ypX/jei-1.21.1-neoforge-19.27.0.346.jar,Both,modrinth
Kotlin for Forge,https://cdn.modrinth.com/data/ordsPcFz/versions/uhJhCT7X/kotlinforforge-5.12.0-all.jar,Both,modrinth
Rechiseled,https://cdn.modrinth.com/data/B0g2vT6l/versions/S5FnErRw/rechiseled-1.2.5-neoforge-mc1.21.jar,Both,modrinth
Rechiseled: Create,https://cdn.modrinth.com/data/E6867niZ/versions/VnOezhJR/rechiseledcreate-1.1.1-neoforge-mc1.21.jar,Both,modrinth
Sable,https://cdn.modrinth.com/data/T9PomCSv/versions/1L6XJqnY/sable-neoforge-1.21.1-2.0.3.jar,Both,modrinth
Silent Gear,https://cdn.modrinth.com/data/73mSSnCf/versions/VRVOMdub/silent-gear-1.21.1-neoforge-4.2.1.1.jar,Both,modrinth
Silent Gear JEI,https://cdn.modrinth.com/data/yiUlraa8/versions/Rpbwbrk7/silentgearjei-1.1.9.jar,Both,modrinth
Silent Gear: Shuriken,https://cdn.modrinth.com/data/aijsHNvJ/versions/W0dEzb60/SGAddon_Shuriken-1.21.1-1.0.0.jar,Both,modrinth
Silent Lib,https://cdn.modrinth.com/data/BQhuHQo4/versions/xavD8Lt3/silent-lib-1.21.1-neoforge-10.6.0.jar,Both,modrinth
Simply Tooltips,https://cdn.modrinth.com/data/6avVoBVB/versions/Ic73EcJ6/SimplyTooltips-neoforge-0.1.3.jar,Client,modrinth
Sophisticated Backpacks,https://cdn.modrinth.com/data/TyCTlI4b/versions/Za8vNsQ0/sophisticatedbackpacks-1.21.1-3.25.67.1964.jar,Both,modrinth
Sophisticated Core,https://cdn.modrinth.com/data/nmoqTijg/versions/1Dw1q6hf/sophisticatedcore-1.21.1-1.4.65.2102.jar,Both,modrinth
Steam 'n' Rails Neoforge,https://cdn.modrinth.com/data/L3Jv0QZI/versions/xtIfPFWg/railways-0.3.0-alpha.2%2Bneoforge-mc1.21.1.jar,Both,modrinth
Strut Your Stuff,https://cdn.modrinth.com/data/sHO3MhQx/versions/LlB8fR3U/struts-1.2.5.jar,Both,modrinth
SuperMartijn642's Config Lib,https://cdn.modrinth.com/data/LN9BxssP/versions/qKL9jM75/supermartijn642configlib-1.1.8-neoforge-mc1.21.jar,Both,modrinth
SuperMartijn642's Core Lib,https://cdn.modrinth.com/data/rOUBggPv/versions/hcYSe7v7/supermartijn642corelib-1.1.21-neoforge-mc1.21.jar,Both,modrinth
Xaero's Minimap,https://cdn.modrinth.com/data/1bokaNcj/versions/w8HSmbC3/xaerominimap-neoforge-1.21.1-26.1.0.jar,Both,modrinth
Xaero's World Map,https://cdn.modrinth.com/data/NcUtCpym/versions/fHsLkLT4/xaeroworldmap-neoforge-1.21.1-1.41.2.jar,Both,modrinth
